rep,size,mode,frac,dist,depth,spawned,bvh_MB,leaf_MB,coverage,render_ms,total_ms,fwd_rate
3,3000,leafhybrid,0.05,far,5,57,393,4.99,0.682,3431,9982,5.2550
3,3000,leafhybrid,0.10,far,5,57,393,9.97,0.850,3470,10014,5.2561
3,3000,leafhybrid,0.25,far,5,57,393,24.93,0.988,3446,10039,5.2539
3,3000,leafhybrid,0.50,far,5,57,393,49.85,1.000,3499,10127,5.2528
3,3000,leafhybrid,1.00,far,5,57,393,99.70,1.000,3387,10038,5.2541
3,6000,naive,NA,near,5,64,786,0.00,NA,1603,10599,2.5346
3,6000,replicate,NA,near,5,64,786,0.00,NA,1437,18507,2.5340
3,6000,hybrid,NA,near,5,64,786,0.00,NA,1610,10947,2.5335
3,6000,leafhybrid,0.02,near,5,64,786,3.99,0.635,3133,14297,6.0667
3,6000,leafhybrid,0.05,near,5,64,786,9.97,0.862,3132,14319,6.0671
3,6000,leafhybrid,0.10,near,5,64,786,19.94,0.972,3125,14339,6.0664
3,6000,leafhybrid,0.25,near,5,64,786,49.85,1.000,3124,14376,6.0680
3,6000,leafhybrid,0.50,near,5,64,786,99.70,1.000,3109,14493,6.0646
3,6000,leafhybrid,1.00,near,5,64,786,199.40,1.000,3101,14529,6.0673
3,6000,naive,NA,far,5,57,786,0.00,NA,2041,11085,2.5343
3,6000,replicate,NA,far,5,57,786,0.00,NA,1816,19049,2.5343
3,6000,hybrid,NA,far,5,57,786,0.00,NA,2025,11425,2.5331
3,6000,leafhybrid,0.02,far,5,57,786,3.99,0.635,4005,15246,6.0656
3,6000,leafhybrid,0.05,far,5,57,786,9.97,0.862,4031,15279,6.0632
3,6000,leafhybrid,0.10,far,5,57,786,19.94,0.972,4009,15255,6.0664
3,6000,leafhybrid,0.25,far,5,57,786,49.85,1.000,4024,15344,6.0667
3,6000,leafhybrid,0.50,far,5,57,786,99.70,1.000,4012,15457,6.0668
3,6000,leafhybrid,1.00,far,5,57,786,199.40,1.000,3963,15448,6.0652
